NOCCourseId,NOCCourseName,NOCCourseAbstract,NOCCoordinatorNames,NOCInstitute,nocCoordinatingInstitute,NOCEnrolStartDt,NOCEnrolEndDt,NOCRegStartDt,NOCRegEndDt,NOCExamDt1,NOCExamDt2,NOCExamDt3,NOCEnrolUrl,NOCRegUrl,NOCStaticMockUrl,NOCPeriod,HourType,Category,NOCReallocationDBtable1,NOCReallocationDBtable2,NOCTestscoreDBtable,NOCCertificateDBtable,NOCNameAssignment1,NOCNameAssignment2,NOCNameAssignment3,NOCNameAssignment4,NOCNameAssignment5,NOCNameAssignment6,NOCNameAssignment7,NOCNameAssignment8,NOCNameAssignment9,NOCNameAssignment10,NOClegendlogic,NOCAssignmentLogicRemarks,NOCAssignmentGraph,NOCExamGraph,NOCFinalScoreGraph,NOCEnableCertificatestatus,NOCEnableDownloadCertificate,NOCEnableExamScores,NOCEnablePercentileScores,NOCEnableReallocationDt1,NOCEnableReallocationDt2,NOCEnableCandidateLogin,NOCEnableReallocationLogin,CourseStatus,Syllabus_link,disciplineid,scorder,NPTELCourseId,NOCCourseDuration,NOCCourseAvail,NOCExamRun,FdpStatus,sem,duration (self-populated),discipline_short (derived),discipline_name
noc22-ae01,Aircraft Design,"<p>This course will presents the entire process of aircraft conceptual design - from requirements definition to initial sizing, configuration layout, analysis, sizing, optimization, and trade studies.</p>",Prof. A.K.Ghosh,IIT Kanpur,IIT Kanpur,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae01/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101104069.pdf,101,NULL,101104069,NULL,NULL,38,1,SEM1,12,ae,Aerospace Engineering
noc22-ae02,Introduction to Experiments in Flight,This course is designed to conduct experiments in airplane to determine different parameters. This course will also help in creating a background to design an experiment to determine a specific parameter,Prof. A.K.Ghosh,IIT Kanpur,IIT Kanpur,2021-11-14,2022-02-21,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae02/preview,NULL,NULL,Feb-Mar 2022,10,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101104066.pdf,101,NULL,101104066,NULL,NULL,38,0,SEM1,4 ,ae,Aerospace Engineering
noc22-ae03,Rocket Propulsion,"The fundamental aspects of rockets and the current trends in rocket propulsion are dealt with in this course. Starting with description of motion in space, the requirements of rockets for placing space-crafts in different orbits and escaping the gravitational fields of the planets are examined. The operating principles and design aspects of solid propellant, liquid propellant, electrical, nuclear and other types of rockets are dealt with.","Prof. K. Ramamurthi 
Prof. V. Nagabhushana Rao",IIT Madras,IIT Madras,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae03/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101106082.pdf,101,NULL,101106082,NULL,NULL,38,1,SEM1,12,ae,Aerospace Engineering
noc22-ae04,Computational Science in Engineering,"The Computational Science in Engineering is a rapidly evolving field that exploits the power of computation as an approach to major challenges on the frontiers of natural and social science and all engineering fields. The primary focus lies on developing problem-solving methodologies and robust tools for numerical simulation. The goal is to present the fundamentals of scientific computing, with short codes to implement the key concepts. This includes a framework for applied mathematics such as Linear Algebra, ODEs and PDEs. To understand phenomena and processes from science and engineering, these simulations require advanced skills in mathematical modelling, numerical analysis, efficient algorithms, computer architecture, software design and implementation, validation, and visualization of results.",Prof. Ashoke De,IIT Kanpur,IIT Kanpur,2021-11-14,2022-02-21,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae04/preview,NULL,NULL,Feb-Apr 2022,20,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101104086.pdf,101,NULL,101104086,NULL,NULL,38,1,SEM1,8 ,ae,Aerospace Engineering
noc22-ae05,Gasdynamics: Fundamentals and Applications,"In the previous century, humanity quickly moved from enabling mechanical flight to flying farther, higher, and faster. Now, humanity is endeavoring to explore and colonize other planets. Similarly, engineers are seeking to make compact and efficient systems in the domains of energy and power. All these scenarios and several more, including natural events like explosive volcanic eruptions, involve the high-speed Flow of gases. Speeds at which the compressible nature of gases becomes significant. In this course on the fundamentals and applications of gasdynamics, we shall understand and model the compressible flow phenomena of gases from first principles.",Prof. Srisha Rao M V,IISc Bangalore,IISc Bangalore,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae05/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101108086.pdf,101,NULL,101108086,NULL,NULL,38,1,SEM1,12,ae,Aerospace Engineering
noc22-ae06,Introduction to Launch Vehicle Analysis and Design,"Space has always been of keen interest to mankind as it is believed to contain information relevant to formation, existence and continued sustenance of our planet. Space mission is defined as an act of transporting a space object to its designated spot and then carrying out the scientific / technological activities. Transportation of these objects is done through launch vehicles which are important elements of any space mission. Launch vehicles provide the space object with sufficient energy to enable it to set us a desired space mission. The course aims to introduce fundamental principles governing ascent mission trajectory design including the configuration design of launch vehicles. It also aims to present various techniques that help in synthesizing the trajectory and the launch vehicle for specified objectives.",Prof. Ashok Joshi,IIT Bombay,IIT Bombay,2021-11-14,2022-02-21,2021-12-13,2022-03-18,2022-04-24,2022-04-24,NULL,https://onlinecourses.nptel.ac.in/noc22_ae06/preview,NULL,NULL,Feb-Apr 2022,20,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101101086.pdf,101,NULL,101101086,NULL,NULL,39,1,SEM1,8 ,ae,Aerospace Engineering
noc22-ae07,Lighter than Air Systems,"This course is designed to provide students an overview of Lighter-than-Air (LTA) systems, a subject of Aerospace Engineering that was once at the forefront of technological developments, but which got pushed into oblivion in late 1930s. The subject was revived in mid 1980s due to renewed interest in such systems for long endurance applications with low fuel consumption. The course will be conducted using the in-class recordings of 20 lectures of this course (by CDEEP) delivered by the instructor at IIT Bombay in Autumn Semester of 2015. Around ten additional lectures will be recorded to highlight some current and relevant topics. There will be a monthly interaction video session with students, in which their doubts will be cleared. The students can also approach the instructor via e-mail, or on phone at some pre-specified time window.",Prof. Rajkumar S. Pant,IIT Bombay,IIT Bombay,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae07/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101101087.pdf,101,NULL,101101087,NULL,NULL,38,1,SEM1,12,ae,Aerospace Engineering
noc22-ae08,Satellite Attitude Dynamics and Control,"This course is designed to introduce the participants the rotational
kinemaics first. Then it introduces the subject matter of satellite/rigid body
rotational dynamics comprehensibly. Finally, the attitude control of
satellite using reaction wheels, control moment gyros, magnetic/Lorentz
force actuators, and trhusters are introduced.",Prof. Manoranjan Sinha,IIT Kharagpur,IIT Kharagpur,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae08/preview,NULL,NULL,Jan-Apr 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101105077.pdf,101,NULL,101105077,NULL,NULL,38,1,SEM1,12,ae,Aerospace Engineering
noc22-ae09,Fundamentals of Theoretical and Experimental Aerodynamics,"This course is introductory in nature and expected to impart firsthand knowledge of Aerodynamics. It combines fundamentals of theoretical and experimental aspects of Aerodynamics without making it too intense and detailed. After successful completion of this course the student should be well prepared for more advanced courses in the discipline.
With ever increasing use of Aerodynamics in a wide gamut of applications like drones, UAVs, micro air vehicles, automobile aerodynamics, sports aerodynamics, industrial aerodynamics, defence and space, it is essential to understand the basics or quickly refresh the fundamental concepts of Aerodynamics while working on any of the above applications. This course exactly fulfils that need.
I would like to once more emphasize that the primary intention of this course is to create a familiarity about Aerodynamics. It is not intended to prepare someone for research but induce the excitement and enthusiasm to pursue it further.",Prof. Arnab Roy,IIT Kharagpur,IIT Kharagpur,2021-11-14,2022-01-31,2021-12-13,2022-03-18,2022-04-23,2022-04-23,NULL,https://onlinecourses.nptel.ac.in/noc22_ae09/preview,NULL,NULL,Jan-Apr 2022,30,New,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,oc,https://nptel.ac.in/content/syllabus_pdf/101105088.pdf,101,NULL,101105088,NULL,NULL,38,1,SEM1,12,ae,Aerospace Engineering
noc22-ae10,Aircraft Stability and Control,<p>This course is designed to understand stability and control aspects of an airplane. This course will also help in creating a background to design an airplane from stability and control aspects.</p>,Prof. A. K. Ghosh,IIT Kanpur,IIT Kanpur,2022-05-20,2022-07-25,NULL,NULL,2022-10-29,2022-10-29,NULL,https://onlinecourses.nptel.ac.in/noc22_ae10/,NULL,NULL,Jul-Oct 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101104062.pdf,101,NULL,101104062,NULL,NULL,41,0,SEM2,12,ae,Aerospace Engineering
noc22-ae11,Introduction to Airplane Performance,This course is designed to provide an integrated introductory treatment of airplane performance with flavor of aircraft design and flight testing.,Prof. A. K. Ghosh,IIT Kanpur,IIT Kanpur,2022-05-20,2022-07-01,NULL,NULL,2022-09-25,2022-09-25,NULL,https://onlinecourses.nptel.ac.in/noc22_ae11/,NULL,NULL,Jul-Sep 2022,20,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uptc,https://archive.nptel.ac.in/content/syllabus_pdf/101104061.pdf,101,NULL,101104061,NULL,NULL,40,0,SEM2,8 ,ae,Aerospace Engineering
noc22-ae12,Introduction to Airbreathing Propulsion,"Due to the rapid advance in air transportation as well as military and intelligence missions, aircraft and rocket propulsion has become an essential part of engineering education. Propulsion is the combined aero-thermal science for aircrafts and rockets. Propulsion has both macro and microscales. Macroscale handles the performance and operation of aircrafts and rockets during different missions, while microscale is concerned with component design including both rotary modules (i.e., compressor, fan, pump, and turbine) and stationary modules (i.e., intake, combustor, afterburner, and nozzle). The fundamental knowledge of propulsion is expected to improve the design of the industrial propulsive systems by enhancing the stability, improving the efficiency, and reduction in pollutant formation. In this course, an integrated understanding of theory and practice of propulsion would be covered. The discussion would continue on the design, operation, installation and several inspections, repair, and maintenance aspects of aircraft and rocket engines.",Prof. Ashoke De,IIT Kanpur,IIT Kanpur,2022-05-20,2022-07-25,NULL,NULL,2022-10-30,2022-10-30,NULL,https://onlinecourses.nptel.ac.in/noc22_ae12/,NULL,NULL,Jul-Oct 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101104084.pdf,101,NULL,101104084,NULL,NULL,42,1,SEM2,12,ae,Aerospace Engineering
noc22-ae13,Introduction to Aerospace Engineering-Flight,"The aim of this course is to provide a general overview of the field of Aeronautical Engineering to interested students. The course will consist of ten Capsules, each consisting of two Lectures. Each Lecture will cover a specific concept or area relevant to the subject. An attempt will be made to cover the contents in an interesting manner, by a judicious use of a mix of powerpoint presentations, in-class activities, quizzes, innovative and hands on assignments that will not only increase the awareness of the students, but also satiate their curiosity and desire to know more about the various concepts related to the subject.",Prof. Rajkumar Pant,IIT Bombay,IIT Bombay,2022-05-20,2022-07-25,NULL,NULL,2022-10-30,2022-10-30,NULL,https://onlinecourses.nptel.ac.in/noc22_ae13/,NULL,NULL,Jul-Oct 2022,30,Rerun,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,uplc,https://archive.nptel.ac.in/content/syllabus_pdf/101101079.pdf,101,NULL,101101079,NULL,NULL,42,0,SEM2,12,ae,Aerospace Engineering
