NOCCourseId,Duration,Duration (int)
noc22-ag04,8 Weeks,8 
noc22-me66,8 Weeks,8 
noc22-ar01,8 Weeks,8 
noc22-ar03,4 Weeks,4 
noc22-bt06,4 Weeks,4 
noc22-bt07,4 Weeks,4 
noc22-bt10,8 Weeks,8 
noc22-bt13,8 Weeks,8 
noc22-bt14,4 Weeks,4 
noc22-bt18,8 Weeks,8 
noc22-bt19,8 Weeks,8 
noc22-bt21,8 Weeks,8 
noc22-ch01,8 Weeks,8 
noc22-ch05,8 Weeks,8 
noc22-ch11,8 Weeks,8 
noc22-ch17,8 Weeks,8 
noc22-ch18,8 Weeks,8 
noc22-ch23,8 Weeks,8 
noc22-ch32,8 Weeks,8 
noc22-cy01,4 Weeks,4 
noc22-cy02,4 Weeks,4 
noc22-cy07,8 Weeks,8 
noc22-cy08,8 Weeks,8 
noc22-cy12,4 Weeks,4 
noc22-cy28,8 Weeks,8 
noc22-cy29,8 Weeks,8 
noc22-cy34,4 Weeks,4 
noc22-ce08,8 Weeks,8 
noc22-ce09,8 Weeks,8 
noc22-ce17,4 Weeks,4 
noc22-ce18,4 Weeks,4 
noc22-ce21,8 Weeks,8 
noc22-ce38,4 Weeks,4 
noc22-ce42,8 Weeks,8 
noc22-ce43,8 Weeks,8 
noc22-ce49,4 Weeks,4 
noc22-cs06,8 Weeks,8 
noc22-cs12,4 Weeks,4 
noc22-cs16,8 Weeks,8 
noc22-cs18,8 Weeks,8 
noc22-cs21,4 Weeks + 4 Weeks(New),8
noc22-cs23,8 Weeks,8 
noc22-cs26,8 Weeks,8 
noc22-cs27,8 Weeks,8 
noc22-cs28,8 Weeks,8 
noc22-cs32,4 Weeks,4 
noc22-cs38,8 Weeks,8 
noc22-cs51,8 Weeks,8 
noc22-cs54,8 Weeks,8 
noc22-cs58,4 Weeks,4 
noc22-de07,8 Weeks,8 
noc22-ce48,8 Weeks,8 
noc22-hs67,8 Weeks,8 
noc22-ee08,8 Weeks,8 
noc22-ee14,8 Weeks,8 
noc22-ee15,8 Weeks,8 
noc22-ee23,4 Weeks,4 
noc22-ee24,8 Weeks,8 
noc22-ee25,8 Weeks,8 
noc22-ee28,8 Weeks,8 
