unique_course_id,course_run_id,name,_discipline,category,exam_date,_duration,faculty,institute,coordinating_institute,course_status,is_fdp
101104069,noc22-ae01,Aircraft Design,Aerospace Engineering,Rerun,2022-04-23,12,Prof. A.K.Ghosh,IIT Kanpur,IIT Kanpur,oc,True
101104066,noc22-ae02,Introduction to Experiments in Flight,Aerospace Engineering,Rerun,2022-04-23,4,Prof. A.K.Ghosh,IIT Kanpur,IIT Kanpur,oc,False
101106082,noc22-ae03,Rocket Propulsion,Aerospace Engineering,Rerun,2022-04-23,12,"Prof. K. Ramamurthi 
Prof. V. Nagabhushana Rao",IIT Madras,IIT Madras,oc,True
101104086,noc22-ae04,Computational Science in Engineering,Aerospace Engineering,Rerun,2022-04-23,8,Prof. Ashoke De,IIT Kanpur,IIT Kanpur,oc,True
101108086,noc22-ae05,Gasdynamics: Fundamentals and Applications,Aerospace Engineering,Rerun,2022-04-23,12,Prof. Srisha Rao M V,IISc Bangalore,IISc Bangalore,oc,True
101101086,noc22-ae06,Introduction to Launch Vehicle Analysis and Design,Aerospace Engineering,Rerun,2022-04-24,8,Prof. Ashok Joshi,IIT Bombay,IIT Bombay,oc,True
101101087,noc22-ae07,Lighter than Air Systems,Aerospace Engineering,Rerun,2022-04-23,12,Prof. Rajkumar S. Pant,IIT Bombay,IIT Bombay,oc,True
101105077,noc22-ae08,Satellite Attitude Dynamics and Control,Aerospace Engineering,Rerun,2022-04-23,12,Prof. Manoranjan Sinha,IIT Kharagpur,IIT Kharagpur,oc,True
101105088,noc22-ae09,Fundamentals of Theoretical and Experimental Aerodynamics,Aerospace Engineering,New,2022-04-23,12,Prof. Arnab Roy,IIT Kharagpur,IIT Kharagpur,oc,True
101104062,noc22-ae10,Aircraft Stability and Control,Aerospace Engineering,Rerun,2022-10-29,12,Prof. A. K. Ghosh,IIT Kanpur,IIT Kanpur,uplc,False
101104061,noc22-ae11,Introduction to Airplane Performance,Aerospace Engineering,Rerun,2022-09-25,8,Prof. A. K. Ghosh,IIT Kanpur,IIT Kanpur,uptc,False
101104084,noc22-ae12,Introduction to Airbreathing Propulsion,Aerospace Engineering,Rerun,2022-10-30,12,Prof. Ashoke De,IIT Kanpur,IIT Kanpur,uplc,True
101101079,noc22-ae13,Introduction to Aerospace Engineering-Flight,Aerospace Engineering,Rerun,2022-10-30,12,Prof. Rajkumar Pant,IIT Bombay,IIT Bombay,uplc,False
101101083,noc22-ae14,Introduction to Aircraft Design,Aerospace Engineering,Rerun,2022-10-29,12,Prof. Rajkumar Pant,IIT Bombay,IIT Bombay,uplc,True
